37.9.113.76 bot - "2018-10-23 02:48:15" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
46.228.4.91 administrative 1 "2018-10-23 11:08:23" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0"
178.66.96.204 - - "2018-10-23 12:22:02" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
46.228.4.90 - - "2018-10-23 14:25:52" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:25:58" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:26:32" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:28:00" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:28:03" http://med-alyans2.spbniif.ru/index.php/Hahn/article/download/136/134/535 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
217.118.78.106 - - "2018-10-23 14:41:24" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
217.118.78.106 - - "2018-10-23 14:41:40" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
46.228.4.90 - - "2018-10-23 14:42:05" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:42:10" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
46.228.4.90 - - "2018-10-23 14:44:53" http://med-alyans2.spbniif.ru/index.php/Hahn/issue/view/24 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
46.228.4.90 - - "2018-10-23 15:35:12" http://med-alyans2.spbniif.ru/index.php/Hahn/issue/view/24 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.91 administrative 1 "2018-10-23 15:35:13" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0"
46.228.4.90 - - "2018-10-23 15:35:15" http://med-alyans2.spbniif.ru/index.php/Hahn/article/download/136/134/535 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 YaBrowser/18.9.1.954 Yowser/2.5 Safari/537.36"
46.228.4.91 administrative 1 "2018-10-23 15:37:40" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0"
46.228.4.91 administrative 1 "2018-10-23 15:52:30" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0"
46.228.4.91 administrative 1 "2018-10-23 15:52:45" http://med-alyans2.spbniif.ru/index.php/Hahn/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0"
